Trade Flow,Reporter,Partner,Trade Value (US$)
1,Turkey,United Arab Emirates,691201792
2,Turkey,United Arab Emirates,7975400309
1,Turkey,United Kingdom,5258922575
2,Turkey,United Kingdom,8158669011
1,Turkey,USA,11977015416
2,Turkey,USA,4316424238
1,India,Australia,9568942373
2,India,Australia,1347331524
1,India,Brazil,1159829655
2,India,Brazil,3250049801
1,India,Canada,2332252650
2,India,Canada,1380024922
1,India,China,31586024206
2,India,China,10093926793
1,India,France,6404518480
2,India,France,3086397514
1,India,Germany,11418567837
2,India,Germany,5915161038
1,India,Indonesia,6431337165
2,India,Indonesia,2659313619
1,India,Italy,4575537632
2,India,Italy,3999857886
1,India,Japan,7784411156
2,India,Japan,3624208847
1,India,Rep. of Korea,8350676521
2,India,Rep. of Korea,3773311534
1,India,Mexico,1800095215
2,India,Mexico,684343022
1,India,Netherlands,1881000382
2,India,Netherlands,6528600259
1,India,Russian Federation,4451326284
2,India,Russian Federation,1090744013
1,India,Saudi Arabia,22982841185
2,India,Saudi Arabia,5375371709
1,India,Spain,1092962460
2,India,Spain,2717768630
1,India,United Arab Emirates,19419288638
2,India,United Arab Emirates,19096531840
1,India,Turkey,1895383127
2,India,Turkey,1618267190
1,India,United Kingdom,6216829075
2,India,United Kingdom,6597520820
1,India,USA,24487129830
2,India,USA,21407124636
1,Indonesia,Australia,4005313927
2,Indonesia,Australia,4110969601
1,Indonesia,Brazil,1375657849
2,Indonesia,Brazil,992699669
1,Indonesia,Canada,1871683223
2,Indonesia,Canada,645460932
1,Indonesia,China,15249200995
2,Indonesia,China,11636503721
1,Indonesia,France,1692508002
2,Indonesia,France,966163916
1,Indonesia,Germany,3068957956
2,Indonesia,Germany,2465159396
1,Indonesia,Indonesia,23904324
1,Indonesia,Italy,999313871
2,Indonesia,Italy,1900691792
1,Indonesia,Japan,15129172530
2,Indonesia,Japan,27743856152
1,Indonesia,Rep. of Korea,6925768838
2,Indonesia,Rep. of Korea,9116819240
1,Indonesia,Mexico,149380021
2,Indonesia,Mexico,426078986
1,Indonesia,Netherlands,604120690
2,Indonesia,Netherlands,3926404315
